p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.02188e-03,-1.00320e-02,4.84925e-03,-8.09083e-23,1,1.32000e-01,5.93338e-01,9.33381e-02,5.00000e-03
-1.01787e-03,-1.01829e-02,4.94014e-03,-7.64123e-23,1,1.33000e-01,5.94045e-01,9.40452e-02,5.00000e-03
-1.01386e-03,-1.03337e-02,5.03103e-03,-7.19178e-23,1,1.34000e-01,5.94752e-01,9.47523e-02,5.00000e-03
-1.00985e-03,-1.04845e-02,5.12191e-03,-6.74234e-23,1,1.35000e-01,5.95459e-01,9.54594e-02,5.00000e-03
-1.00583e-03,-1.06353e-02,5.21280e-03,-6.29288e-23,1,1.36000e-01,5.96166e-01,9.61665e-02,5.00000e-03
-1.00182e-03,-1.07861e-02,5.30369e-03,-5.84331e-23,1,1.37000e-01,5.96874e-01,9.68736e-02,5.00000e-03
-9.97812e-04,-1.09369e-02,5.39457e-03,-5.39385e-23,1,1.38000e-01,5.97581e-01,9.75807e-02,5.00000e-03
-9.93800e-04,-1.10877e-02,5.48546e-03,-4.94439e-23,1,1.39000e-01,5.98288e-01,9.82878e-02,5.00000e-03
-9.89789e-04,-1.12385e-02,5.57635e-03,-4.49484e-23,1,1.40000e-01,5.98995e-01,9.89949e-02,5.00000e-03
-9.85778e-04,-1.13893e-02,5.66723e-03,-4.04538e-23,1,1.41000e-01,5.99702e-01,9.97021e-02,5.00000e-03
-9.81767e-04,-1.15401e-02,5.75812e-03,-3.59591e-23,1,1.42000e-01,6.00409e-01,1.00409e-01,5.00000e-03
-9.77756e-04,-1.16909e-02,5.84901e-03,-3.14644e-23,1,1.43000e-01,6.01116e-01,1.01116e-01,5.00000e-03
-9.73744e-04,-1.18417e-02,5.93989e-03,-2.69691e-23,1,1.44000e-01,6.01823e-01,1.01823e-01,5.00000e-03
-9.69733e-04,-1.19925e-02,6.03078e-03,-2.24744e-23,1,1.45000e-01,6.02530e-01,1.02530e-01,5.00000e-03
-9.65722e-04,-1.21433e-02,6.12167e-03,-1.79796e-23,1,1.46000e-01,6.03238e-01,1.03238e-01,5.00000e-03
-9.61711e-04,-1.22942e-02,6.21255e-03,-1.34845e-23,1,1.47000e-01,6.03945e-01,1.03945e-01,5.00000e-03
-9.57699e-04,-1.24450e-02,6.30344e-03,-8.98974e-24,1,1.48000e-01,6.04652e-01,1.04652e-01,5.00000e-03
-9.53688e-04,-1.25958e-02,6.39433e-03,-4.49492e-24,1,1.49000e-01,6.05359e-01,1.05359e-01,5.00000e-03
-9.49677e-04,-1.27466e-02,6.48521e-03,0.00000e+00,1,1.50000e-01,6.06066e-01,1.06066e-01,5.00000e-03
-9.45599e-04,-1.29231e-02,6.59830e-03,0.00000e+00,1,1.51000e-01,6.06773e-01,1.06773e-01,5.00000e-03
-9.41520e-04,-1.30996e-02,6.71138e-03,0.00000e+00,1,1.52000e-01,6.07480e-01,1.07480e-01,5.00000e-03
-9.37442e-04,-1.32762e-02,6.82446e-03,0.00000e+00,1,1.53000e-01,6.08187e-01,1.08187e-01,5.00000e-03
-9.33364e-04,-1.34527e-02,6.93755e-03,0.00000e+00,1,1.54000e-01,6.08894e-01,1.08894e-01,5.00000e-03
-9.29286e-04,-1.36292e-02,7.05063e-03,0.00000e+00,1,1.55000e-01,6.09602e-01,1.09602e-01,5.00000e-03
-9.25208e-04,-1.38057e-02,7.16371e-03,0.00000e+00,1,1.56000e-01,6.10309e-01,1.10309e-01,5.00000e-03
-9.21130e-04,-1.39823e-02,7.27679e-03,0.00000e+00,1,1.57000e-01,6.11016e-01,1.11016e-01,5.00000e-03
-9.17052e-04,-1.41588e-02,7.38988e-03,0.00000e+00,1,1.58000e-01,6.11723e-01,1.11723e-01,5.00000e-03
-9.12974e-04,-1.43353e-02,7.50296e-03,0.00000e+00,1,1.59000e-01,6.12430e-01,1.12430e-01,5.00000e-03
-9.08895e-04,-1.45118e-02,7.61604e-03,0.00000e+00,1,1.60000e-01,6.13137e-01,1.13137e-01,5.00000e-03
-9.04817e-04,-1.46884e-02,7.72912e-03,0.00000e+00,1,1.61000e-01,6.13844e-01,1.13844e-01,5.00000e-03
-9.00739e-04,-1.48649e-02,7.84221e-03,0.00000e+00,1,1.62000e-01,6.14551e-01,1.14551e-01,5.00000e-03
-8.96661e-04,-1.50414e-02,7.95529e-03,0.00000e+00,1,1.63000e-01,6.15258e-01,1.15258e-01,5.00000e-03
-8.92583e-04,-1.52179e-02,8.06837e-03,0.00000e+00,1,1.64000e-01,6.15965e-01,1.15966e-01,5.00000e-03
-8.88505e-04,-1.53945e-02,8.18145e-03,0.00000e+00,1,1.65000e-01,6.16673e-01,1.16673e-01,5.00000e-03
-8.84427e-04,-1.55710e-02,8.29454e-03,0.00000e+00,1,1.66000e-01,6.17380e-01,1.17380e-01,5.00000e-03
-8.80348e-04,-1.57475e-02,8.40762e-03,0.00000e+00,1,1.67000e-01,6.18087e-01,1.18087e-01,5.00000e-03
-8.76270e-04,-1.59241e-02,8.52070e-03,0.00000e+00,1,1.68000e-01,6.18794e-01,1.18794e-01,5.00000e-03
-8.72192e-04,-1.61006e-02,8.63378e-03,0.00000e+00,1,1.69000e-01,6.19501e-01,1.19501e-01,5.00000e-03
-8.68114e-04,-1.62771e-02,8.74687e-03,0.00000e+00,1,1.70000e-01,6.20208e-01,1.20208e-01,5.00000e-03
-8.64036e-04,-1.64536e-02,8.85995e-03,0.00000e+00,1,1.71000e-01,6.20915e-01,1.20915e-01,5.00000e-03
-8.59958e-04,-1.66302e-02,8.97303e-03,0.00000e+00,1,1.72000e-01,6.21622e-01,1.21622e-01,5.00000e-03
-8.55880e-04,-1.68067e-02,9.08611e-03,0.00000e+00,1,1.73000e-01,6.22329e-01,1.22329e-01,5.00000e-03
-8.51801e-04,-1.69832e-02,9.19920e-03,0.00000e+00,1,1.74000e-01,6.23037e-01,1.23037e-01,5.00000e-03
-8.47723e-04,-1.71597e-02,9.31228e-03,0.00000e+00,1,1.75000e-01,6.23744e-01,1.23744e-01,5.00000e-03
-8.44003e-04,-1.73623e-02,9.44762e-03,-1.86778e-23,1,1.76000e-01,6.24451e-01,1.24451e-01,5.00000e-03
-8.40283e-04,-1.75648e-02,9.58297e-03,-3.73556e-23,1,1.77000e-01,6.25158e-01,1.25158e-01,5.00000e-03
-8.36562e-04,-1.77673e-02,9.71831e-03,-5.60334e-23,1,1.78000e-01,6.25865e-01,1.25865e-01,5.00000e-03
-8.32842e-04,-1.79698e-02,9.85366e-03,-7.47116e-23,1,1.79000e-01,6.26572e-01,1.26572e-01,5.00000e-03
-8.29122e-04,-1.81723e-02,9.98900e-03,-9.33895e-23,1,1.80000e-01,6.27279e-01,1.27279e-01,5.00000e-03
-8.25401e-04,-1.83748e-02,1.01243e-02,-1.12067e-22,1,1.81000e-01,6.27986e-01,1.27986e-01,5.00000e-03
-8.21681e-04,-1.85773e-02,1.02597e-02,-1.30745e-22,1,1.82000e-01,6.28693e-01,1.28693e-01,5.00000e-03
