p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
8.66664e-05,3.90089e-03,-1.26031e-03,9.08764e-23,1,2.75014e-01,7.65630e-01,7.11752e-02,2.75000e-03
8.57762e-05,3.91547e-03,-1.24878e-03,9.81967e-23,1,2.76014e-01,7.66596e-01,7.14341e-02,2.76000e-03
8.48861e-05,3.93005e-03,-1.23726e-03,1.05517e-22,1,2.77014e-01,7.67561e-01,7.16929e-02,2.77000e-03
8.39959e-05,3.94463e-03,-1.22573e-03,1.12837e-22,1,2.78014e-01,7.68527e-01,7.19517e-02,2.78000e-03
8.31058e-05,3.95921e-03,-1.21421e-03,1.20157e-22,1,2.79014e-01,7.69493e-01,7.22105e-02,2.79000e-03
8.22156e-05,3.97380e-03,-1.20268e-03,1.27478e-22,1,2.80014e-01,7.70459e-01,7.24693e-02,2.80000e-03
8.13255e-05,3.98838e-03,-1.19116e-03,1.34798e-22,1,2.81014e-01,7.71425e-01,7.27281e-02,2.81000e-03
8.04353e-05,4.00296e-03,-1.17963e-03,1.42118e-22,1,2.82014e-01,7.72391e-01,7.29870e-02,2.82000e-03
7.95451e-05,4.01754e-03,-1.16811e-03,1.49439e-22,1,2.83014e-01,7.73357e-01,7.32458e-02,2.83000e-03
7.86550e-05,4.03212e-03,-1.15658e-03,1.56759e-22,1,2.84014e-01,7.74323e-01,7.35046e-02,2.84000e-03
7.77648e-05,4.04671e-03,-1.14505e-03,1.64079e-22,1,2.85014e-01,7.75289e-01,7.37634e-02,2.85000e-03
7.68747e-05,4.06129e-03,-1.13353e-03,1.71400e-22,1,2.86014e-01,7.76255e-01,7.40222e-02,2.86000e-03
7.59845e-05,4.07587e-03,-1.12200e-03,1.78720e-22,1,2.87014e-01,7.77221e-01,7.42811e-02,2.87000e-03
7.50944e-05,4.09045e-03,-1.11048e-03,1.86040e-22,1,2.88014e-01,7.78187e-01,7.45399e-02,2.88000e-03
7.42042e-05,4.10504e-03,-1.09895e-03,1.93361e-22,1,2.89014e-01,7.79153e-01,7.47987e-02,2.89000e-03
7.33141e-05,4.11962e-03,-1.08743e-03,2.00681e-22,1,2.90014e-01,7.80118e-01,7.50575e-02,2.90000e-03
7.24239e-05,4.13420e-03,-1.07590e-03,2.08001e-22,1,2.91015e-01,7.81084e-01,7.53163e-02,2.91000e-03
7.15338e-05,4.14878e-03,-1.06438e-03,2.15321e-22,1,2.92015e-01,7.82050e-01,7.55752e-02,2.92000e-03
7.06436e-05,4.16336e-03,-1.05285e-03,2.22642e-22,1,2.93015e-01,7.83016e-01,7.58340e-02,2.93000e-03
6.97534e-05,4.17795e-03,-1.04133e-03,2.29962e-22,1,2.94015e-01,7.83982e-01,7.60928e-02,2.94000e-03
6.88633e-05,4.19253e-03,-1.02980e-03,2.37282e-22,1,2.95015e-01,7.84948e-01,7.63516e-02,2.95000e-03
6.79731e-05,4.20711e-03,-1.01828e-03,2.44603e-22,1,2.96015e-01,7.85914e-01,7.66104e-02,2.96000e-03
6.70830e-05,4.22169e-03,-1.00675e-03,2.51923e-22,1,2.97015e-01,7.86880e-01,7.68693e-02,2.97000e-03
6.61928e-05,4.23627e-03,-9.95226e-04,2.59243e-22,1,2.98015e-01,7.87846e-01,7.71281e-02,2.98000e-03
6.53027e-05,4.25086e-03,-9.83701e-04,2.66563e-22,1,2.99015e-01,7.88812e-01,7.73869e-02,2.99000e-03
6.44125e-05,4.26544e-03,-9.72175e-04,2.73884e-22,1,3.00015e-01,7.89778e-01,7.76457e-02,3.00000e-03
6.23753e-05,4.22824e-03,-9.25604e-04,2.73884e-22,1,3.01015e-01,7.90744e-01,7.79045e-02,3.01000e-03
6.03380e-05,4.19104e-03,-8.79031e-04,2.73884e-22,1,3.02015e-01,7.91710e-01,7.81633e-02,3.02000e-03
5.83008e-05,4.15384e-03,-8.32459e-04,2.73883e-22,1,3.03015e-01,7.92675e-01,7.84222e-02,3.03000e-03
5.62635e-05,4.11664e-03,-7.85887e-04,2.73884e-22,1,3.04015e-01,7.93641e-01,7.86810e-02,3.04000e-03
5.42262e-05,4.07944e-03,-7.39314e-04,2.73884e-22,1,3.05015e-01,7.94607e-01,7.89398e-02,3.05000e-03
5.21890e-05,4.04224e-03,-6.92743e-04,2.73884e-22,1,3.06015e-01,7.95573e-01,7.91986e-02,3.06000e-03
5.01517e-05,4.00504e-03,-6.46170e-04,2.73884e-22,1,3.07015e-01,7.96539e-01,7.94574e-02,3.07000e-03
4.81145e-05,3.96784e-03,-5.99599e-04,2.73884e-22,1,3.08015e-01,7.97505e-01,7.97163e-02,3.08000e-03
4.60772e-05,3.93064e-03,-5.53026e-04,2.73884e-22,1,3.09015e-01,7.98471e-01,7.99751e-02,3.09000e-03
4.40400e-05,3.89345e-03,-5.06455e-04,2.73884e-22,1,3.10015e-01,7.99437e-01,8.02339e-02,3.10000e-03
4.20028e-05,3.85625e-03,-4.59882e-04,2.73884e-22,1,3.11016e-01,8.00403e-01,8.04927e-02,3.11000e-03
3.99656e-05,3.81905e-03,-4.13311e-04,2.73884e-22,1,3.12016e-01,8.01369e-01,8.07515e-02,3.12000e-03
