timeData,vydata
5.9,-0.056847159
5.95,-0.064493785
6.0,-0.065782289
6.05,-0.06051121
6.1,-0.049114481
6.15,-0.032624461
6.2,-0.012580551
6.25,0.0091116579
6.3,0.030357285
6.35,0.049070778
6.4,0.063379016
6.45,0.071809575
6.5,0.07344359
6.55,0.068017587
6.6,0.055960505
6.65,0.038359572
6.7,0.016858562
6.75,-0.0065028422
6.8,-0.029488715
6.85,-0.049884234
6.9,-0.065708991
6.95,-0.075402772
7.0,-0.07797364
7.05,-0.073091269
7.1,-0.061125015
7.15,-0.043120039
7.2,-0.020713831
7.25,0.0040046777
7.3,0.028682576
7.35,0.050924326
7.4,0.068526232
7.45,0.079701484
7.5,0.083269455
7.55,0.078787319
7.6,0.066608539
7.65,0.047856417
7.7,0.024317588
7.75,-0.001734968
7.8,-0.027767743
7.85,-0.051237222
7.9,-0.06983861
7.95,-0.081728507
8.0,-0.085703155
8.05,-0.081316367
8.1,-0.068929273
8.15,-0.049684739
8.2,-0.02540922
8.25,0.0015533079
8.3,0.028562726
8.35,0.052938095
8.4,0.072225136
8.45,0.084445557
8.5,0.088302566
8.55,0.083318822
8.6,0.069892046
8.65,0.04926085
8.7,0.023384932
8.75,-0.0052449574
8.8,-0.033848988
8.85,-0.059622549
8.9,-0.08000264
8.95,-0.092911296
9.0,-0.096958043
9.05,-0.091583545
9.1,-0.077135328
9.15,-0.054859254
9.2,-0.026806065
9.25,0.0043493825
9.3,0.035559985
9.35,0.063710845
9.4,0.085940616
9.45,0.099946971
9.5,0.10423576
9.55,0.098288187
9.6,0.082621184
9.65,0.058736829
9.7,0.028966087
9.75,-0.0037700603
9.8,-0.036257599
9.85,-0.065306779
9.9,-0.088060788
9.95,-0.10226885
10.0,-0.10649881
10.05,-0.10027765
10.1,-0.084144693
10.15,-0.0596124
10.2,-0.029034639
10.25,0.0046121544
10.3,0.038017052
10.35,0.067863413
10.4,0.091167071
10.45,0.10558388
10.5,0.10965074
10.55,0.10293529
10.6,0.086075694
10.65,0.060711713
10.7,0.029315374
10.75,-0.0050544833
10.8,-0.039049453
10.85,-0.069348193
10.9,-0.092969031
10.95,-0.10755177
11.0,-0.11158621
11.05,-0.10456982
11.1,-0.087076071
11.15,-0.060721874
11.2,-0.028030477
