U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,,,,,
-0.031336,76127,1,9.9378,15,9.9375,0.074531,,,,,
-0.034663,76607,1,10,15,10,0.075,,,,,
-0.038134,77088,1,10.063,15,10.062,0.075469,,,,,
-0.041729,77568,1,10.125,15,10.125,0.075938,,,,,
-0.045447,78049,1,10.188,15,10.188,0.076406,,,,,
-0.049286,78529,1,10.25,15,10.25,0.076875,,,,,
-0.053224,79009,1,10.313,15,10.312,0.077344,,,,,
-0.057253,79490,1,10.375,15,10.375,0.077813,,,,,
-0.061357,79970,1,10.438,15,10.438,0.078281,,,,,
-0.065513,80450,1,10.5,15,10.5,0.07875,,,,,
-0.069701,80931,1,10.563,15,10.562,0.079219,,,,,
-0.073894,81411,1,10.625,15,10.625,0.079688,,,,,
-0.078065,81892,1,10.688,15,10.688,0.080156,,,,,
-0.082175,82372,1,10.75,15,10.75,0.080625,,,,,
-0.086196,82852,1,10.813,15,10.812,0.081094,,,,,
-0.090086,83333,1,10.875,15,10.875,0.081563,,,,,
-0.093797,83813,1,10.938,15,10.938,0.082031,,,,,
-0.097297,84293,1,11,15,11,0.0825,,,,,
-0.10052,84774,1,11.063,15,11.062,0.082969,,,,,
-0.10343,85254,1,11.125,15,11.125,0.083438,,,,,
-0.10598,85735,1,11.188,15,11.188,0.083906,,,,,
-0.10807,86215,1,11.25,15,11.25,0.084375,,,,,
-0.10969,86695,1,11.313,15,11.312,0.084844,,,,,
-0.11077,87176,1,11.375,15,11.375,0.085313,,,,,
-0.11123,87656,1,11.438,15,11.438,0.085781,,,,,
-0.11105,88136,1,11.5,15,11.5,0.08625,,,,,
-0.1101,88617,1,11.563,15,11.562,0.086719,,,,,
-0.10839,89097,1,11.625,15,11.625,0.087188,,,,,
-0.10585,89578,1,11.688,15,11.688,0.087656,,,,,
-0.10235,90058,1,11.75,15,11.75,0.088125,,,,,
-0.097938,90538,1,11.813,15,11.812,0.088594,,,,,
-0.092493,91019,1,11.875,15,11.875,0.089063,,,,,
-0.085983,91499,1,11.938,15,11.938,0.089531,,,,,
-0.078425,91979,1,12,15,12,0.09,,,,,
-0.069639,92460,1,12.063,15,12.062,0.090469,,,,,
-0.059739,92940,1,12.125,15,12.125,0.090938,,,,,
-0.048632,93421,1,12.188,15,12.188,0.091406,,,,,
-0.036285,93901,1,12.25,15,12.25,0.091875,,,,,
-0.022773,94381,1,12.313,15,12.312,0.092344,,,,,
-0.0079513,94862,1,12.375,15,12.375,0.092813,,,,,
0.0080429,95342,1,12.438,15,12.438,0.093281,,,,,
0.025243,95823,1,12.5,15,12.5,0.09375,,,,,
0.043655,96303,1,12.563,15,12.562,0.094219,,,,,
0.063153,96783,1,12.625,15,12.625,0.094688,,,,,
0.083825,97264,1,12.688,15,12.688,0.095156,,,,,
