Result,U:0,U:1,U:2,SA,p,p_rgh,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
3.24063e-04,-3.24063e-04,-1.42196e-04,2.20807e-21,1.94074e+00,-8.01235e-01,-1.01522e+00,1,2.32000e-02,3.00000e-01,2.32000e-02,2.00000e-03
3.20682e-04,-3.20682e-04,-1.42893e-04,2.53998e-21,1.93973e+00,-7.97545e-01,-1.01523e+00,1,2.36000e-02,3.00000e-01,2.36000e-02,2.00000e-03
3.17310e-04,-3.17310e-04,-1.43549e-04,2.61462e-21,1.93872e+00,-7.93855e-01,-1.01524e+00,1,2.40000e-02,3.00000e-01,2.40000e-02,2.00000e-03
3.13858e-04,-3.13858e-04,-1.44037e-04,1.61861e-21,1.93771e+00,-7.90166e-01,-1.01525e+00,1,2.44000e-02,3.00000e-01,2.44000e-02,2.00000e-03
3.10414e-04,-3.10414e-04,-1.44484e-04,3.45925e-22,1.93671e+00,-7.86476e-01,-1.01526e+00,1,2.48000e-02,3.00000e-01,2.48000e-02,2.00000e-03
3.06932e-04,-3.06932e-04,-1.44826e-04,-1.36698e-21,1.93570e+00,-7.82785e-01,-1.01527e+00,1,2.52000e-02,3.00000e-01,2.52000e-02,2.00000e-03
3.03413e-04,-3.03413e-04,-1.45061e-04,-2.95911e-21,1.93469e+00,-7.79095e-01,-1.01528e+00,1,2.56000e-02,3.00000e-01,2.56000e-02,2.00000e-03
2.99901e-04,-2.99901e-04,-1.45255e-04,-4.48113e-21,1.93368e+00,-7.75405e-01,-1.01529e+00,1,2.60000e-02,3.00000e-01,2.60000e-02,2.00000e-03
2.96287e-04,-2.96287e-04,-1.45239e-04,-4.34686e-21,1.93267e+00,-7.71714e-01,-1.01530e+00,1,2.64000e-02,3.00000e-01,2.64000e-02,2.00000e-03
2.92676e-04,-2.92676e-04,-1.45169e-04,-3.79894e-21,1.93166e+00,-7.68023e-01,-1.01532e+00,1,2.68000e-02,3.00000e-01,2.68000e-02,2.00000e-03
2.89026e-04,-2.89026e-04,-1.44992e-04,-2.74927e-21,1.93066e+00,-7.64332e-01,-1.01533e+00,1,2.72000e-02,3.00000e-01,2.72000e-02,2.00000e-03
2.85338e-04,-2.85338e-04,-1.44707e-04,-2.25960e-21,1.92965e+00,-7.60641e-01,-1.01534e+00,1,2.76000e-02,3.00000e-01,2.76000e-02,2.00000e-03
