x_velocity,y_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-3.93901e-02,-8.45361e-02,1,5.16000e+00,3.00000e+01,5.16000e+00,5.00000e+00
-3.98455e-02,-8.45946e-02,1,5.20000e+00,3.00000e+01,5.20000e+00,5.00000e+00
-4.03532e-02,-8.46190e-02,1,5.24000e+00,3.00000e+01,5.24000e+00,5.00000e+00
-4.08768e-02,-8.46331e-02,1,5.28000e+00,3.00000e+01,5.28000e+00,5.00000e+00
-4.14003e-02,-8.46471e-02,1,5.32000e+00,3.00000e+01,5.32000e+00,5.00000e+00
-4.18482e-02,-8.46220e-02,1,5.36000e+00,3.00000e+01,5.36000e+00,5.00000e+00
-4.22356e-02,-8.45654e-02,1,5.40000e+00,3.00000e+01,5.40000e+00,5.00000e+00
-4.26230e-02,-8.45087e-02,1,5.44000e+00,3.00000e+01,5.44000e+00,5.00000e+00
-4.30105e-02,-8.44521e-02,1,5.48000e+00,3.00000e+01,5.48000e+00,5.00000e+00
-4.33979e-02,-8.43955e-02,1,5.52000e+00,3.00000e+01,5.52000e+00,5.00000e+00
-4.37853e-02,-8.43389e-02,1,5.56000e+00,3.00000e+01,5.56000e+00,5.00000e+00
-4.41880e-02,-8.42795e-02,1,5.60000e+00,3.00000e+01,5.60000e+00,5.00000e+00
-4.46490e-02,-8.42093e-02,1,5.64000e+00,3.00000e+01,5.64000e+00,5.00000e+00
-4.51101e-02,-8.41391e-02,1,5.68000e+00,3.00000e+01,5.68000e+00,5.00000e+00
-4.55712e-02,-8.40690e-02,1,5.72000e+00,3.00000e+01,5.72000e+00,5.00000e+00
-4.59436e-02,-8.39473e-02,1,5.76000e+00,3.00000e+01,5.76000e+00,5.00000e+00
-4.62663e-02,-8.37968e-02,1,5.80000e+00,3.00000e+01,5.80000e+00,5.00000e+00
-4.65891e-02,-8.36463e-02,1,5.84000e+00,3.00000e+01,5.84000e+00,5.00000e+00
-4.69324e-02,-8.35024e-02,1,5.88000e+00,3.00000e+01,5.88000e+00,5.00000e+00
-4.73550e-02,-8.33837e-02,1,5.92000e+00,3.00000e+01,5.92000e+00,5.00000e+00
-4.77385e-02,-8.32409e-02,1,5.96000e+00,3.00000e+01,5.96000e+00,5.00000e+00
-4.80169e-02,-8.30330e-02,1,6.00000e+00,3.00000e+01,6.00000e+00,5.00000e+00
-4.84106e-02,-8.28825e-02,1,6.04000e+00,3.00000e+01,6.04000e+00,5.00000e+00
-4.88043e-02,-8.27320e-02,1,6.08000e+00,3.00000e+01,6.08000e+00,5.00000e+00
-4.90754e-02,-8.25027e-02,1,6.12000e+00,3.00000e+01,6.12000e+00,5.00000e+00
-4.93986e-02,-8.22920e-02,1,6.16000e+00,3.00000e+01,6.16000e+00,5.00000e+00
-4.97400e-02,-8.20891e-02,1,6.20000e+00,3.00000e+01,6.20000e+00,5.00000e+00
-5.00815e-02,-8.18862e-02,1,6.24000e+00,3.00000e+01,6.24000e+00,5.00000e+00
-5.04229e-02,-8.16833e-02,1,6.28000e+00,3.00000e+01,6.28000e+00,5.00000e+00
-5.07643e-02,-8.14804e-02,1,6.32000e+00,3.00000e+01,6.32000e+00,5.00000e+00
-5.10639e-02,-8.12490e-02,1,6.36000e+00,3.00000e+01,6.36000e+00,5.00000e+00
-5.12808e-02,-8.09612e-02,1,6.40000e+00,3.00000e+01,6.40000e+00,5.00000e+00
-5.15315e-02,-8.06793e-02,1,6.44000e+00,3.00000e+01,6.44000e+00,5.00000e+00
-5.17911e-02,-8.03988e-02,1,6.48000e+00,3.00000e+01,6.48000e+00,5.00000e+00
-5.20507e-02,-8.01184e-02,1,6.52000e+00,3.00000e+01,6.52000e+00,5.00000e+00
-5.23103e-02,-7.98379e-02,1,6.56000e+00,3.00000e+01,6.56000e+00,5.00000e+00
-5.25699e-02,-7.95575e-02,1,6.60000e+00,3.00000e+01,6.60000e+00,5.00000e+00
-5.28295e-02,-7.92771e-02,1,6.64000e+00,3.00000e+01,6.64000e+00,5.00000e+00
-5.30891e-02,-7.89966e-02,1,6.68000e+00,3.00000e+01,6.68000e+00,5.00000e+00
-5.33487e-02,-7.87162e-02,1,6.72000e+00,3.00000e+01,6.72000e+00,5.00000e+00
-5.36082e-02,-7.84357e-02,1,6.76000e+00,3.00000e+01,6.76000e+00,5.00000e+00
-5.38169e-02,-7.81148e-02,1,6.80000e+00,3.00000e+01,6.80000e+00,5.00000e+00
-5.39792e-02,-7.77515e-02,1,6.84000e+00,3.00000e+01,6.84000e+00,5.00000e+00
-5.41411e-02,-7.73904e-02,1,6.88000e+00,3.00000e+01,6.88000e+00,5.00000e+00
-5.43031e-02,-7.70294e-02,1,6.92000e+00,3.00000e+01,6.92000e+00,5.00000e+00
-5.44651e-02,-7.66685e-02,1,6.96000e+00,3.00000e+01,6.96000e+00,5.00000e+00
-5.46270e-02,-7.63075e-02,1,7.00000e+00,3.00000e+01,7.00000e+00,5.00000e+00
-5.47890e-02,-7.59465e-02,1,7.04000e+00,3.00000e+01,7.04000e+00,5.00000e+00
-5.49510e-02,-7.55856e-02,1,7.08000e+00,3.00000e+01,7.08000e+00,5.00000e+00
-5.51129e-02,-7.52246e-02,1,7.12000e+00,3.00000e+01,7.12000e+00,5.00000e+00
-5.52749e-02,-7.48636e-02,1,7.16000e+00,3.00000e+01,7.16000e+00,5.00000e+00
-5.54368e-02,-7.45027e-02,1,7.20000e+00,3.00000e+01,7.20000e+00,5.00000e+00
-5.55768e-02,-7.41470e-02,1,7.24000e+00,3.00000e+01,7.24000e+00,5.00000e+00
-5.57101e-02,-7.37930e-02,1,7.28000e+00,3.00000e+01,7.28000e+00,5.00000e+00
-5.57992e-02,-7.33908e-02,1,7.32000e+00,3.00000e+01,7.32000e+00,5.00000e+00
-5.58627e-02,-7.29606e-02,1,7.36000e+00,3.00000e+01,7.36000e+00,5.00000e+00
-5.59261e-02,-7.25304e-02,1,7.40000e+00,3.00000e+01,7.40000e+00,5.00000e+00
-5.59896e-02,-7.21002e-02,1,7.44000e+00,3.00000e+01,7.44000e+00,5.00000e+00
