U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.24483,34491,1,18.001,15,18,0.135
0.24412,34731,1,18.063,15,18.062,0.13547
0.24347,34731,1,18.126,15,18.125,0.13594
0.24313,34972,1,18.188,15,18.188,0.13641
0.24286,34972,1,18.251,15,18.25,0.13688
0.2428,35212,1,18.313,15,18.312,0.13734
0.24281,35212,1,18.376,15,18.375,0.13781
0.24298,35453,1,18.438,15,18.438,0.13828
0.24323,35453,1,18.501,15,18.5,0.13875
0.24354,35693,1,18.563,15,18.562,0.13922
0.24393,35694,1,18.626,15,18.625,0.13969
0.24438,35934,1,18.688,15,18.688,0.14016
0.24491,35934,1,18.751,15,18.75,0.14062
0.24553,36174,1,18.813,15,18.812,0.14109
0.24625,36175,1,18.876,15,18.875,0.14156
0.24729,36415,1,18.938,15,18.938,0.14203
0.24841,36415,1,19.001,15,19,0.1425
0.25017,36655,1,19.063,15,19.062,0.14297
0.25202,36656,1,19.126,15,19.125,0.14344
0.2547,36896,1,19.188,15,19.188,0.14391
0.25744,36896,1,19.251,15,19.25,0.14438
0.26014,37136,1,19.313,15,19.312,0.14484
0.2629,37137,1,19.376,15,19.375,0.14531
0.26224,37377,1,19.438,15,19.438,0.14578
0.26164,37377,1,19.501,15,19.5,0.14625
0.25065,37618,1,19.563,15,19.562,0.14672
0.23976,37618,1,19.626,15,19.625,0.14719
0.21002,37858,1,19.688,15,19.688,0.14766
0.18049,37858,1,19.751,15,19.75,0.14813
0.13299,38099,1,19.813,15,19.812,0.14859
0.085766,38099,1,19.876,15,19.875,0.14906
0.042769,38339,1,19.938,15,19.938,0.14953
0,38339,1,20.001,15,20,0.15
