Result,U:0,U:1,U:2,SA,p_rgh,rhok,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-2.83419e-04,2.83419e-04,-2.35595e-04,-2.23785e-19,1.23074e+00,5.76719e-06,9.50771e-01,1,3.07600e-01,3.00000e-01,3.07600e-01,2.00000e-03
-2.89179e-04,2.89179e-04,-2.39887e-04,-3.06964e-19,1.22972e+00,5.79007e-06,9.50811e-01,1,3.08000e-01,3.00000e-01,3.08000e-01,2.00000e-03
-2.94935e-04,2.94935e-04,-2.44112e-04,-3.36594e-19,1.22871e+00,5.81535e-06,9.50852e-01,1,3.08400e-01,3.00000e-01,3.08400e-01,2.00000e-03
-3.00672e-04,3.00672e-04,-2.48328e-04,-3.66751e-19,1.22770e+00,5.84111e-06,9.50892e-01,1,3.08800e-01,3.00000e-01,3.08800e-01,2.00000e-03
-3.06391e-04,3.06391e-04,-2.52536e-04,-3.97433e-19,1.22668e+00,5.86736e-06,9.50933e-01,1,3.09200e-01,3.00000e-01,3.09200e-01,2.00000e-03
-3.12069e-04,3.12069e-04,-2.56676e-04,-4.06652e-19,1.22567e+00,5.89572e-06,9.50973e-01,1,3.09600e-01,3.00000e-01,3.09600e-01,2.00000e-03
-3.17713e-04,3.17713e-04,-2.60774e-04,-4.09049e-19,1.22465e+00,5.92542e-06,9.51014e-01,1,3.10000e-01,3.00000e-01,3.10000e-01,2.00000e-03
-3.23335e-04,3.23335e-04,-2.64857e-04,-4.16349e-19,1.22364e+00,5.95566e-06,9.51055e-01,1,3.10400e-01,3.00000e-01,3.10400e-01,2.00000e-03
-3.28906e-04,3.28906e-04,-2.68888e-04,-4.50856e-19,1.22262e+00,5.98740e-06,9.51095e-01,1,3.10800e-01,3.00000e-01,3.10800e-01,2.00000e-03
-3.34397e-04,3.34397e-04,-2.72828e-04,-5.33482e-19,1.22160e+00,6.02164e-06,9.51136e-01,1,3.11200e-01,3.00000e-01,3.11200e-01,2.00000e-03
-3.39860e-04,3.39860e-04,-2.76747e-04,-6.18951e-19,1.22058e+00,6.05647e-06,9.51177e-01,1,3.11600e-01,3.00000e-01,3.11600e-01,2.00000e-03
-3.45262e-04,3.45262e-04,-2.80621e-04,-7.09489e-19,1.21957e+00,6.09270e-06,9.51217e-01,1,3.12000e-01,3.00000e-01,3.12000e-01,2.00000e-03
-3.50437e-04,3.50437e-04,-2.84303e-04,-7.61744e-19,1.21855e+00,6.13429e-06,9.51258e-01,1,3.12400e-01,3.00000e-01,3.12400e-01,2.00000e-03
-3.55568e-04,3.55568e-04,-2.87950e-04,-8.13558e-19,1.21753e+00,6.17659e-06,9.51299e-01,1,3.12800e-01,3.00000e-01,3.12800e-01,2.00000e-03
-3.60657e-04,3.60657e-04,-2.91564e-04,-8.64940e-19,1.21650e+00,6.21962e-06,9.51340e-01,1,3.13200e-01,3.00000e-01,3.13200e-01,2.00000e-03
-3.65573e-04,3.65573e-04,-2.95044e-04,-8.91566e-19,1.21548e+00,6.26597e-06,9.51381e-01,1,3.13600e-01,3.00000e-01,3.13600e-01,2.00000e-03
-3.70377e-04,3.70377e-04,-2.98434e-04,-9.12485e-19,1.21446e+00,6.31436e-06,9.51422e-01,1,3.14000e-01,3.00000e-01,3.14000e-01,2.00000e-03
-3.75134e-04,3.75134e-04,-3.01783e-04,-9.41246e-19,1.21344e+00,6.36351e-06,9.51463e-01,1,3.14400e-01,3.00000e-01,3.14400e-01,2.00000e-03
-3.79758e-04,3.79758e-04,-3.05036e-04,-9.74521e-19,1.21241e+00,6.41487e-06,9.51503e-01,1,3.14800e-01,3.00000e-01,3.14800e-01,2.00000e-03
-3.84161e-04,3.84161e-04,-3.08133e-04,-1.00581e-18,1.21139e+00,6.46988e-06,9.51544e-01,1,3.15200e-01,3.00000e-01,3.15200e-01,2.00000e-03
