x_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-3.14100e-02,1,4.44000e+00,3.00000e+01,4.44000e+00,0.00000e+00
-3.24864e-02,1,4.48000e+00,3.00000e+01,4.48000e+00,0.00000e+00
-3.35700e-02,1,4.52000e+00,3.00000e+01,4.52000e+00,0.00000e+00
-3.46607e-02,1,4.56000e+00,3.00000e+01,4.56000e+00,0.00000e+00
-3.57317e-02,1,4.60000e+00,3.00000e+01,4.60000e+00,0.00000e+00
-3.68056e-02,1,4.64000e+00,3.00000e+01,4.64000e+00,0.00000e+00
-3.78852e-02,1,4.68000e+00,3.00000e+01,4.68000e+00,0.00000e+00
-3.89703e-02,1,4.72000e+00,3.00000e+01,4.72000e+00,0.00000e+00
-4.00611e-02,1,4.76000e+00,3.00000e+01,4.76000e+00,0.00000e+00
-4.11136e-02,1,4.80000e+00,3.00000e+01,4.80000e+00,0.00000e+00
-4.20269e-02,1,4.84000e+00,3.00000e+01,4.84000e+00,0.00000e+00
-4.29465e-02,1,4.88000e+00,3.00000e+01,4.88000e+00,0.00000e+00
-4.38722e-02,1,4.92000e+00,3.00000e+01,4.92000e+00,0.00000e+00
-4.48041e-02,1,4.96000e+00,3.00000e+01,4.96000e+00,0.00000e+00
-4.57421e-02,1,5.00000e+00,3.00000e+01,5.00000e+00,0.00000e+00
-4.66864e-02,1,5.04000e+00,3.00000e+01,5.04000e+00,0.00000e+00
-4.76369e-02,1,5.08000e+00,3.00000e+01,5.08000e+00,0.00000e+00
-4.85936e-02,1,5.12000e+00,3.00000e+01,5.12000e+00,0.00000e+00
-4.95565e-02,1,5.16000e+00,3.00000e+01,5.16000e+00,0.00000e+00
-5.05257e-02,1,5.20000e+00,3.00000e+01,5.20000e+00,0.00000e+00
-5.13345e-02,1,5.24000e+00,3.00000e+01,5.24000e+00,0.00000e+00
-5.20993e-02,1,5.28000e+00,3.00000e+01,5.28000e+00,0.00000e+00
-5.28705e-02,1,5.32000e+00,3.00000e+01,5.32000e+00,0.00000e+00
-5.36482e-02,1,5.36000e+00,3.00000e+01,5.36000e+00,0.00000e+00
-5.44325e-02,1,5.40000e+00,3.00000e+01,5.40000e+00,0.00000e+00
-5.52232e-02,1,5.44000e+00,3.00000e+01,5.44000e+00,0.00000e+00
-5.60204e-02,1,5.48000e+00,3.00000e+01,5.48000e+00,0.00000e+00
-5.68241e-02,1,5.52000e+00,3.00000e+01,5.52000e+00,0.00000e+00
-5.76344e-02,1,5.56000e+00,3.00000e+01,5.56000e+00,0.00000e+00
-5.84106e-02,1,5.60000e+00,3.00000e+01,5.60000e+00,0.00000e+00
-5.90381e-02,1,5.64000e+00,3.00000e+01,5.64000e+00,0.00000e+00
-5.96721e-02,1,5.68000e+00,3.00000e+01,5.68000e+00,0.00000e+00
-6.03126e-02,1,5.72000e+00,3.00000e+01,5.72000e+00,0.00000e+00
-6.09597e-02,1,5.76000e+00,3.00000e+01,5.76000e+00,0.00000e+00
-6.16132e-02,1,5.80000e+00,3.00000e+01,5.80000e+00,0.00000e+00
-6.22732e-02,1,5.84000e+00,3.00000e+01,5.84000e+00,0.00000e+00
