x,y,z,U_0,U_1,U_2,U_0m
0.3,0.147157191,0.002,4.4905791E-05,6.73631549E-05,-2.44037037E-19,-4.4905791E-05
0.3,0.148494983,0.002,4.51648163E-05,6.59085664E-05,-5.13009323E-19,-4.51648163E-05
0.3,0.149832776,0.002,4.57248252E-05,6.46137184E-05,-1.1678751E-19,-4.57248252E-05
0.3,0.151170569,0.002,4.65035298E-05,6.34282923E-05,9.63390379E-21,-4.65035298E-05
0.3,0.152508361,0.002,4.74694971E-05,6.23453755E-05,-2.22175528E-20,-4.74694971E-05
0.3,0.153846154,0.002,4.85816911E-05,6.13498633E-05,-3.38835174E-21,-4.85816911E-05
0.3,0.155183946,0.002,4.98106381E-05,6.04326162E-05,2.33454179E-20,-4.98106381E-05
0.3,0.156521739,0.002,5.11569836E-05,5.96045094E-05,1.18489144E-19,-5.11569836E-05
0.3,0.157859532,0.002,5.26156676E-05,5.88790905E-05,7.95863712E-20,-5.26156676E-05
0.3,0.159197324,0.002,5.41294109E-05,5.82342015E-05,-4.75608534E-20,-5.41294109E-05
0.3,0.160535117,0.002,5.56684404E-05,5.76573268E-05,-3.78666878E-20,-5.56684404E-05
0.3,0.16187291,0.002,5.7212674E-05,5.71350097E-05,-1.28206744E-20,-5.7212674E-05
0.3,0.163210702,0.002,5.87487182E-05,5.66604619E-05,-1.52928053E-19,-5.87487182E-05
0.3,0.164548495,0.002,6.02621839E-05,5.62332659E-05,-4.52785289E-19,-6.02621839E-05
0.3,0.165886288,0.002,6.17189127E-05,5.58357454E-05,-2.58451221E-19,-6.17189127E-05
0.3,0.16722408,0.002,6.30827847E-05,5.54581831E-05,6.07755344E-20,-6.30827847E-05
0.3,0.168561873,0.002,6.43526832E-05,5.50858485E-05,2.24386394E-19,-6.43526832E-05
0.3,0.169899666,0.002,6.55302792E-05,5.47115162E-05,6.67566837E-20,-6.55302792E-05
0.3,0.171237458,0.002,6.66180351E-05,5.43330363E-05,1.91912619E-19,-6.66180351E-05
0.3,0.172575251,0.002,6.75962923E-05,5.3938541E-05,2.23500731E-19,-6.75962923E-05
0.3,0.173913043,0.002,6.84255311E-05,5.34975775E-05,-2.16489459E-19,-6.84255311E-05
0.3,0.175250836,0.002,6.91016847E-05,5.30174913E-05,-4.1958126E-19,-6.91016847E-05
0.3,0.176588629,0.002,6.9662633E-05,5.25011934E-05,-2.15292886E-19,-6.9662633E-05
0.3,0.177926421,0.002,7.01229207E-05,5.19525818E-05,-1.49873034E-19,-7.01229207E-05
0.3,0.179264214,0.002,7.04859893E-05,5.13700057E-05,-5.15083736E-19,-7.04859893E-05
0.3,0.180602007,0.002,7.07442819E-05,5.07433022E-05,-5.19514935E-19,-7.07442819E-05
0.3,0.181939799,0.002,7.08655087E-05,5.00369905E-05,-2.36013393E-19,-7.08655087E-05
0.3,0.183277592,0.002,7.09105672E-05,4.92763624E-05,-7.41917419E-20,-7.09105672E-05
0.3,0.184615385,0.002,7.09290822E-05,4.84672924E-05,-2.31335922E-20,-7.09290822E-05
0.3,0.185953177,0.002,7.09390238E-05,4.76170675E-05,-4.35759292E-20,-7.09390238E-05
0.3,0.18729097,0.002,7.0930331E-05,4.6710701E-05,-2.30477993E-20,-7.0930331E-05
0.3,0.188628763,0.002,7.08654606E-05,4.57339181E-05,4.92909994E-20,-7.08654606E-05
0.3,0.189966555,0.002,7.06325131E-05,4.46504415E-05,-1.09522522E-19,-7.06325131E-05
0.3,0.191304348,0.002,7.01907887E-05,4.34990952E-05,-1.99789437E-19,-7.01907887E-05
0.3,0.19264214,0.002,6.94453955E-05,4.22791494E-05,-3.0991607E-20,-6.94453955E-05
0.3,0.193979933,0.002,6.84352685E-05,4.10096162E-05,-4.44929593E-19,-6.84352685E-05
0.3,0.195317726,0.002,6.71694472E-05,3.96782601E-05,-6.92798887E-19,-6.71694472E-05
0.3,0.196655518,0.002,6.57131143E-05,3.82815581E-05,-8.42076409E-19,-6.57131143E-05
0.3,0.197993311,0.002,6.40709669E-05,3.68120392E-05,-6.72926984E-19,-6.40709669E-05
0.3,0.199331104,0.002,6.22259086E-05,3.52972473E-05,-1.77104543E-19,-6.22259086E-05
0.3,0.200668896,0.002,6.01658426E-05,3.37364028E-05,-1.59974703E-19,-6.01658426E-05
0.3,0.202006689,0.002,5.78689639E-05,3.21326711E-05,-4.89636643E-19,-5.78689639E-05
0.3,0.203344482,0.002,5.53066268E-05,3.04762241E-05,-6.7208468E-19,-5.53066268E-05
0.3,0.204682274,0.002,5.24828874E-05,2.87594129E-05,-4.03341269E-19,-5.24828874E-05
0.3,0.206020067,0.002,4.94990408E-05,2.698328E-05,-1.74192385E-19,-4.94990408E-05
0.3,0.20735786,0.002,4.64579133E-05,2.51605495E-05,-6.382548E-22,-4.64579133E-05
0.3,0.208695652,0.002,4.34441539E-05,2.32916242E-05,-8.60761989E-20,-4.34441539E-05
