Result,U:0,U:1,U:2,SA,p,p_rgh,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
7.87892e-04,-7.87892e-04,3.71393e-04,-1.44971e-21,1.03268e+00,3.63493e+00,-8.09591e-02,1,3.87600e-01,3.00000e-01,3.87600e-01,2.00000e-03
7.83281e-04,-7.83281e-04,3.61937e-04,-1.33354e-21,1.03175e+00,3.63877e+00,-8.11031e-02,1,3.88000e-01,3.00000e-01,3.88000e-01,2.00000e-03
7.79119e-04,-7.79119e-04,3.51553e-04,-1.24911e-21,1.03083e+00,3.64260e+00,-8.12465e-02,1,3.88400e-01,3.00000e-01,3.88400e-01,2.00000e-03
7.74765e-04,-7.74765e-04,3.41226e-04,-1.10997e-21,1.02991e+00,3.64644e+00,-8.13900e-02,1,3.88800e-01,3.00000e-01,3.88800e-01,2.00000e-03
7.70217e-04,-7.70217e-04,3.30954e-04,-9.16014e-22,1.02898e+00,3.65027e+00,-8.15336e-02,1,3.89200e-01,3.00000e-01,3.89200e-01,2.00000e-03
7.66619e-04,-7.66619e-04,3.20106e-04,-1.05072e-21,1.02806e+00,3.65411e+00,-8.16767e-02,1,3.89600e-01,3.00000e-01,3.89600e-01,2.00000e-03
7.63408e-04,-7.63408e-04,3.09000e-04,-1.46338e-21,1.02715e+00,3.65794e+00,-8.18196e-02,1,3.90000e-01,3.00000e-01,3.90000e-01,2.00000e-03
7.60010e-04,-7.60010e-04,2.97953e-04,-1.99056e-21,1.02623e+00,3.66178e+00,-8.19626e-02,1,3.90400e-01,3.00000e-01,3.90400e-01,2.00000e-03
7.57531e-04,-7.57531e-04,2.86658e-04,-2.10356e-21,1.02532e+00,3.66562e+00,-8.21053e-02,1,3.90800e-01,3.00000e-01,3.90800e-01,2.00000e-03
7.57078e-04,-7.57078e-04,2.74810e-04,-1.21428e-21,1.02441e+00,3.66945e+00,-8.22475e-02,1,3.91200e-01,3.00000e-01,3.91200e-01,2.00000e-03
7.56446e-04,-7.56446e-04,2.63015e-04,-3.51006e-22,1.02350e+00,3.67329e+00,-8.23899e-02,1,3.91600e-01,3.00000e-01,3.91600e-01,2.00000e-03
7.55665e-04,-7.55665e-04,2.51000e-04,5.17478e-22,1.02259e+00,3.67712e+00,-8.25324e-02,1,3.92000e-01,3.00000e-01,3.92000e-01,2.00000e-03
7.59591e-04,-7.59591e-04,2.38139e-04,1.25156e-21,1.02169e+00,3.68096e+00,-8.26742e-02,1,3.92400e-01,3.00000e-01,3.92400e-01,2.00000e-03
7.63333e-04,-7.63333e-04,2.25348e-04,2.02065e-21,1.02078e+00,3.68480e+00,-8.28161e-02,1,3.92800e-01,3.00000e-01,3.92800e-01,2.00000e-03
7.66890e-04,-7.66890e-04,2.12629e-04,2.82472e-21,1.01988e+00,3.68863e+00,-8.29582e-02,1,3.93200e-01,3.00000e-01,3.93200e-01,2.00000e-03
7.73176e-04,-7.73176e-04,1.99343e-04,2.64192e-21,1.01898e+00,3.69247e+00,-8.31003e-02,1,3.93600e-01,3.00000e-01,3.93600e-01,2.00000e-03
7.80726e-04,-7.80726e-04,1.85805e-04,1.98897e-21,1.01807e+00,3.69631e+00,-8.32426e-02,1,3.94000e-01,3.00000e-01,3.94000e-01,2.00000e-03
